L_um,TE_bar,TM_cross
5.0,0.7727,0.96852
5.5,0.72977,0.8803
6.0,0.68457,0.74601
6.5,0.63755,0.58192
7.0,0.58917,0.40791
7.5,0.53991,0.24505
8.0,0.49026,0.11307
8.5,0.4407,0.02797
9.0,0.39173,5e-05
9.5,0.34382,0.03269
10.0,0.29746,0.12194
10.5,0.2531,0.25699
11.0,0.21117,0.42147
11.5,0.1721,0.59547
12.0,0.13626,0.75791
12.5,0.10402,0.8891
13.0,0.07568,0.97315
13.5,0.05153,0.99989
14.0,0.0318,0.96608
14.5,0.0167,0.8758
15.0,0.00637,0.74
15.5,0.00091,0.57512
16.0,0.00038,0.40115
16.5,0.00478,0.23915
17.0,0.01407,0.10875
17.5,0.02815,0.02574
18.0,0.04689,0.00019
18.5,0.07011,0.03518
19.0,0.09756,0.12648
19.5,0.12899,0.26303
20.0,0.16409,0.42828
20.5,0.20249,0.60222
21.0,0.24384,0.76378
21.5,0.28771,0.89338
22.0,0.33368,0.97533
22.5,0.38129,0.9997
23.0,0.43007,0.96354
23.5,0.47954,0.87122
24.0,0.52922,0.73394
24.5,0.5786,0.56831
25.0,0.62721,0.39441
25.5,0.67457,0.2333
26.0,0.7202,0.1045
26.5,0.76366,0.02361
27.0,0.80451,0.00043
27.5,0.84236,0.03776
28.0,0.87683,0.13109
28.5,0.90758,0.26911
29.0,0.93431,0.4351
29.5,0.95675,0.60895
30.0,0.97468,0.7696
30.5,0.98792,0.8976
31.0,0.99635,0.97743
31.5,0.99989,0.99942
32.0,0.99848,0.96091
32.5,0.99216,0.86658
33.0,0.98097,0.72783
33.5,0.96504,0.56148
34.0,0.94452,0.38769
34.5,0.91962,0.2275
35.0,0.89057,0.10033
35.5,0.85766,0.02156
36.0,0.82123,0.00076
36.5,0.78162,0.04043
37.0,0.73923,0.13577
37.5,0.69449,0.27524
38.0,0.64782,0.44193
38.5,0.59969,0.61566
39.0,0.55058,0.77538
39.5,0.50097,0.90173
40.0,0.45135,0.97943
40.5,0.40221,0.99904
41.0,0.35404,0.9582
41.5,0.30731,0.86186
42.0,0.26247,0.72168
42.5,0.21999,0.55465
43.0,0.18027,0.38099
43.5,0.1437,0.22176
44.0,0.11065,0.09623
44.5,0.08144,0.01961
45.0,0.05637,0.00118
45.5,0.03567,0.04319
46.0,0.01956,0.14053
46.5,0.00819,0.28141
47.0,0.00167,0.44878
47.5,8e-05,0.62235
48.0,0.00341,0.7811
48.5,0.01165,0.90579
49.0,0.02471,0.98133
49.5,0.04247,0.99857
50.0,0.06473,0.9554
